;;;;;;;;;;
;Obligationsrente;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;År;Uge;Kort rente;Lang rente;Kort euro rente;;;;;
;;19;2,76;5,48;2,30;;;;;
;;18;2,78;5,54;2,31;;;;;
;;17;2,90;5,48;2,46;;;;;
;;16;2,99;5,44;2,53;;;;;
;;15;2,99;5,55;2,51;;;;;
;;14;2,91;5,49;2,47;;;;;
;;13;3,01;5,61;2,54;;;;;
;;12;3,17;5,84;2,50;;;;;
;;11;3,20;6,01;2,72;;;;;
;;10;3,26;6,11;2,81;;;;;
;;9;3,53;6,23;2,94;;;;;
;;8;3,69;6,13;2,98;;;;;
;;7;3,77;6,15;3,11;;;;;
;;6;3,80;6,29;3,19;;;;;
;;5;3,86;6,35;3,42;;;;;
;;4;3,70;6,03;3,36;;;;;
;;3;3,82;6,18;3,59;;;;;
;;2;4,27;6,12;3,94;;;;;
;2009;1;4,36;6,50;4,48;;;;;
;;52;4,64;6,58;4,04;;;;;
;;51;4,91;6,62;3,88;;;;;
;;50;5,25;6,53;4,32;;;;;
;;49;5,13;6,60;4,73;;;;;
;;48;4,84;6,88;4,86;;;;;
;;47;4,83;7,03;4,62;;;;;
;;46;4,65;7,18;4,91;;;;;
;;45;4,90;7,25;5,29;;;;;
;;44;5,87;7,43;5,71;;;;;
;;43;5,51;7,37;5,53;;;;;
;;42;5,44;7,44;5,51;;;;;
;;41;5,19;7,19;5,16;;;;;
;;40;5,03;7,10;5,06;;;;;
;;39;5,11;7,06;5,14;;;;;
;;38;5,02;6,73;5,07;;;;;
;;37;5,00;6,49;5,02;;;;;
;;36;5,03;6,50;5,04;;;;;
;;35;5,00;6,60;5,07;;;;;
;;34;5,00;6,53;5,11;;;;;
;;33;5,11;6,73;5,15;;;;;
;;32;5,23;7,08;5,25;;;;;
;;31;5,25;7,09;5,27;;;;;
;;30;5,30;7,18;5,30;;;;;
;;29;5,27;7,14;5,29;;;;;
;;28;5,27;7,15;5,30;;;;;
;;27;5,36;7,12;5,34;;;;;
